Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2017-08-31,2456.22,47.853333333333,106.06,245.519,2.21,2562.8872302144,49.931478826486,110.66590925753,29.914959397497
2017-07-31,2454.1,47.536666666667,105.04,244.786,2.32,2568.3429837695,49.749588160679,109.92981011986,30.002220744019
2017-06-30,2433.99,47.22,104.02,244.955,2.19,2545.5393875916,49.384085342206,108.78722061195,29.748503240633
2017-05-31,2395.35,46.94,102.77666666667,244.733,2.3,2507.4009520069,49.135784201558,107.58440805899,29.313344980271
2017-04-30,2359.31,46.66,101.53333333333,244.524,2.3,2471.7859389569,48.884433123129,106.37375574586,28.904245956275
2017-03-31,2366.82,46.38,100.29,243.801,2.48,2487.0074615157,48.735183100151,105.3827406881,29.086921742465
2017-02-28,2329.91,46.153333333333,98.376666666667,243.603,2.42,2450.2130769633,48.536424530897,103.4562687549,28.655106525184
2017-01-31,2275.12,45.926666666667,96.463333333333,242.839,2.43,2400.1214199531,48.45000545629,101.76329713308,28.063573742124
2016-12-31,2246.63,45.7,94.55,241.432,2.49,2383.8782004353,48.49184501226,100.32612573105,27.865098223924
2016-11-30,2164.99,45.476666666667,92.73,241.353,2.14,2298.0026949634,48.27066293976,98.427147425141,26.850953531056
2016-10-31,2143.02,45.253333333333,90.91,241.729,1.76,2271.1447214649,47.958894050776,96.34523552201,26.525143085071
2016-09-30,2157.69,45.03,89.09,241.428,1.63,2289.5427262476,47.781705881256,94.534136730205,26.727873346479
2016-08-31,2170.95,44.84,88.366666666667,240.849,1.56,2309.1508982288,47.694477660277,93.992016263302,26.948872433724
2016-07-31,2148.9,44.65,87.643333333333,240.628,1.5,2287.7964664337,47.53600084986,93.308254598384,26.694003256096
2016-06-30,2083.89,44.46,86.92,241.018,1.64,2214.9945027446,47.257127579683,92.388428457626,25.840372927671
2016-05-31,2065.55,44.266666666667,86.76,240.229,1.81,2202.7115000166,47.206165783482,92.521241190697,25.69470992345
2016-04-30,2075.54,44.073333333333,86.6,239.261,1.81,2222.3196911532,47.190146430049,92.72424778798,25.922337543674
2016-03-31,2021.95,43.88,86.44,238.132,1.89,2175.2039979402,47.20589106042,92.991732526498,25.372298620188
2016-02-29,1904.42,43.716666666667,86.47,237.111,1.78,2057.5877800903,47.232689805618,93.42456776573,24.00260677729
2016-01-31,1918.6,43.553333333333,86.5,236.916,2.09,2074.6144044725,47.094950847558,93.533902838981,24.206167203878
2015-12-31,2054.08,43.39,86.53,236.525,2.24,2224.7829278089,46.995896575415,93.721017070077,25.965424037124
2015-11-30,2080.62,43.096666666667,87.906666666667,237.336,2.26,2245.8279922768,46.518682111016,94.886741792227,26.225851890972
2015-10-31,2024.81,42.803333333333,89.283333333333,237.838,2.07,2180.9734222979,46.104539381848,96.169308258142,25.491441046067
2015-09-30,1944.41,42.51,90.66,237.945,2.17,2093.4307689277,45.767992340667,97.608237723003,24.496752170486
2015-08-31,2039.87,42.253333333333,92.076666666667,238.316,2.17,2192.7879220761,45.420835151647,98.979151892865,25.693658417058
2015-07-31,2094.14,41.996666666667,93.493333333333,238.654,2.32,2247.9380311036,45.080989895413,100.35967970367,26.3811363364
2015-06-30,2099.29,41.74,94.91,238.638,2.36,2253.6173464096,44.808477170442,101.88722013049,26.495895292785
2015-05-31,2111.94,41.43,96.356666666667,237.805,2.2,2275.1389967621,44.631480362061,103.80257485124,26.806111379651
2015-04-30,2094.86,41.12,97.803333333333,236.599,1.94,2268.2422722624,44.523320047845,105.89808151133,26.791371680192
2015-03-31,2079.99,40.81,99.25,236.119,2.04,2256.7198666245,44.277490640313,107.68294403458,26.728605452928
2015-02-28,2082.2,40.353333333333,100.27,234.722,1.98,2272.5632823084,44.042600927906,109.43709553216,26.995513699383
2015-01-31,2028.18,39.896666666667,101.29,233.707,1.88,2223.2183358864,43.733298264494,111.03047325283,26.492295420383
2014-12-31,2054.27,39.44,102.31,234.812,2.21,2241.2204505626,43.029268095327,111.62080169455,26.794085482573
2014-11-30,2044.57,39.123333333333,103.52666666667,236.151,2.33,2217.9897536428,42.441761574162,112.30776441768,26.606817147143
2014-10-31,1937.27,38.806666666667,104.74333333333,237.433,2.3,2090.2412477941,41.870929377972,113.01410529497,25.162748283083
2014-09-30,1993.23,38.49,105.96,238.031,2.53,2145.21702189,41.424924957253,114.03962194,25.918436892606
2014-08-31,1961.53,38.12,105.01333333333,237.852,2.42,2112.6885933795,41.057587281166,113.10582631216,25.617606421799
2014-07-31,1973.1,37.75,104.06666666667,238.25,2.54,2121.6001023085,40.59115293809,111.89896642183,25.817545976159
2014-06-30,1947.09,37.38,103.12,238.343,2.6,2092.8156063425,40.177622690828,110.83778629958,25.558007623511
2014-05-31,1889.77,36.996666666667,102.36333333333,237.9,2.56,2034.9879815574,39.839648224044,110.2293681694,24.943274109903
2014-04-30,1864.26,36.613333333333,101.60666666667,237.072,2.71,2014.5291604449,39.564560555443,109.7966983659,24.786315396963
2014-03-31,1863.52,36.23,100.85,236.293,2.72,2020.3682842911,39.279397559386,109.33831752316,24.956039153965
2014-02-28,1817.04,35.816666666667,100.63333333333,234.781,2.71,1982.6629007458,39.081350013417,109.80604531457,24.590930877894
2014-01-31,1822.36,35.403333333333,100.41666666667,233.916,2.86,1995.8209902273,38.773192887618,109.97480799732,24.859609093633
